#;RefDes;Name;Pattern;Value;Quantity
1;BAT+, BAT-;AWG24;AWG24;;2
2;C1, C2, C7;GRM21BR61A106KE19B;CAP_0805_L;10uF;3
3;C3;GRM32ER71E226KE15L;CAP_1210_L;22uF;1
4;C4, C9, C10, C11;GRM155R61C105KA12D;CAP_0402_L;1uF;4
5;C5;GRM2165C1H471JA01D;CAP_0805_L;470pF;1
6;C6;TECAP2.2/16VA10;CAPPM320X160X185L80X120N;2.2uF;1
7;C8;GRM21BR71H104K;CAP_0805_L;0.1uF;1
8;IC1;SK6805-2427;SK68052427;;1
9;L1;B82472G6472M000;IND_B82472G6472M000;4.7uH;1
10;Q1;BSS138LT1G;SOT23-3P95_240X110L43X44N;;1
11;Q2, Q3;BC817-16,235;SOT23-3P95_230X110L30X43N;;2
12;R1;RC0402FR-071K2L;RES_0402_L;1.2k;1
13;R2;RC0402FR-0713KL;RES_0402_L;13k;1
14;R3;RC0402FR-0720KL;RES_0402_L;20k;1
15;R4, R5;RC0402FR-0730KL;RES_0402_L;30k;2
16;R6, R9, R10, R11, R12;RC0805JR-0710KL;RES_0805_L;10k;5
17;R7, R8;RC0402JR-07390RL;RES_0402_L;390R;2
18;U1;ETA9640;SOIC9P127_490X600X175L83X42T330X241N;;1
19;U2;MIC5219-3.3YM5;SOT23-5;;1
20;U3;ESP32-WROOM-32;MODULE_ESP32-WROOM-32;;1
21;XP1, XP4, XP5, XP6;WB-02R;WB-02R;;4
22;XP2, XP3;PLS_20;PLS_20;;2
23;XP7;PLS_6R;PLS_6R;;1
